NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
05096404,ORCIERES-NIVOSE,44.719,6.333667,2280,10,0,9.7,7.68,17.4,14.51,11.040000000000001
05098001,LES ORRES,44.508833,6.559333,1457,10,0,9.6,6.859999999999999,26.3,23.830000000000002,15.24
05101001,PELVOUX,44.866833,6.486667,1270,10,0,8.0,6.05,30.8,28.45,16.160000000000004
05110001,PUY-ST-VINCENT,44.828833,6.492667,1388,10,0,11.2,8.639999999999999,29.0,26.43,17.199999999999996
05120002,RISTOLAS,44.765667,6.9845,1670,10,0,5.4,2.7199999999999998,26.9,23.3,13.15
05126001,ROSANS,44.3875,5.462167,625,10,0,11.7,9.879999999999999,33.2,30.409999999999997,20.64
05136002,ST CREPIN,44.7045,6.6,906,10,0,10.4,7.659999999999999,30.3,28.32,18.240000000000002
05139002,ST ETIENNE-EN-DEVOLUY,44.6945,5.9405,1300,10,0,10.8,7.33,27.6,24.89,
05139006,AGNIERES-EN-DEVOLUY,44.696167,5.880833,1244,10,0,8.9,5.609999999999999,27.3,25.21,15.88
05142001,ST FIRMIN,44.7825,6.035,935,10,0,12.7,10.15,31.1,28.009999999999998,18.720000000000002
05145002,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210,10,0,12.8,10.170000000000002,27.1,25.250000000000004,17.57
05157001,ST VERAN,44.6985,6.870167,1992,10,0,10.2,7.779999999999999,23.9,21.53,
05158001,LE SAIX,44.475833,5.8155,801,10,0,11.6,8.76,31.8,28.879999999999995,18.94
05170001,TALLARD,44.452167,6.033333,593,10,0,13.4,10.71,33.0,29.669999999999998,20.36
05179001,VEYNES,44.536333,5.840667,823,10,0,12.8,9.860000000000001,31.0,28.9,19.249999999999996
05181002,VILLAR D'ARENE,45.030833,6.361667,1665,10,0,6.5,4.069999999999999,25.3,23.130000000000003,13.960000000000003
05182001,VILLAR LOUBIERE,44.826833,6.146,1072,10,0,12.5,9.6,29.7,27.379999999999995,17.910000000000004
05183001,VILLAR ST PANCRACE,44.880333,6.640333,1310,10,0,11.1,8.46,29.7,26.98,17.5
06004002,ANTIBES-GAROUPE,43.564667,7.133,75,10,4,21.6,17.93,32.6,28.55,22.699999999999996
06004004,ANTIBES-GOLF,43.579667,7.091167,13,10,1,20.2,15.459999999999999,32.7,28.339999999999996,22.119999999999997
06004009,ANTIBES_SAPC,43.599167,7.111167,32,10,0,19.3,15.000000000000004,32.2,27.619999999999997,21.88
06005001,ASCROS,43.922,7.013667,1173,10,0,19.0,14.76,26.9,23.36,18.85
06016001,BEUIL-OBS,44.089833,6.988,1464,10,0,13.6,9.95,26.4,23.509999999999998,16.1
06029001,CANNES,43.5565,6.9505,2,10,0,19.0,15.679999999999998,31.5,26.709999999999997,21.759999999999998
06033002,CARROS_SAPC,43.786667,7.209167,78,10,2,21.5,16.979999999999997,34.1,30.51,23.500000000000004
06037002,CAUSSOLS,43.752333,6.923167,1268,10,0,18.3,13.379999999999999,25.5,21.59,17.74
06038001,CHATEAUNEUF GRASSE,43.678333,6.996167,379,10,3,21.6,17.14,30.9,27.380000000000003,22.369999999999997
06050002,COURSEGOULES_SAPC,43.792,7.0485,985,10,0,17.6,13.87,27.3,24.0,19.119999999999997
06059003,EZE,43.738833,7.365833,704,10,3,22.4,18.089999999999996,28.6,25.089999999999996,21.6
06071001,GUILLAUMES-OBS,44.090667,6.852333,788,10,0,13.4,10.18,32.4,29.6,18.98
06073005,ISOLA 2000,44.1895,7.149,1912,10,0,8.4,5.43,22.4,19.32,12.16
06074005,LANTOSQUE_SAPC,43.972,7.307,550,10,0,16.0,12.220000000000002,32.4,29.589999999999996,20.089999999999996
06075007,LEVENS,43.846333,7.21,691,10,0,17.6,15.49,28.6,25.21,20.410000000000004
