NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
06091003,PEILLE,43.775167,7.428333,1106,10,0,18.0,14.76,27.1,23.72,19.41,demuzere,non_bati,12.0,12,11,
06094002,PEONE,44.099667,6.930833,1784,10,0,13.1,10.8,24.4,21.130000000000003,15.36,demuzere,non_bati,12.0,12,12,
06099004,PUGET THENIERS_SAPC,43.956833,6.892333,449,10,0,16.9,13.000000000000004,33.8,30.41,21.34,demuzere,urbain_aere,6.0,6,6,
06102001,RIMPLAS_SAPC,44.067167,7.1335,1130,10,0,18.5,14.89,28.5,25.35,19.419999999999995,demuzere,non_bati,11.0,11,11,
06103002,BERTHEMONT-LES-BAINS_SAPC,44.044333,7.300833,938,10,0,18.6,15.4,29.4,26.75,20.26,demuzere,non_bati,12.0,12,11,
06118002,ST CEZAIRE SUR SIAGNE,43.678667,6.809,694,10,0,18.0,15.149999999999997,30.4,26.35,20.95,demuzere,non_bati,12.0,12,11,
06120004,ST ETIENNE DE TINEE_SAPC,44.257667,6.921167,1150,10,0,14.1,10.97,29.2,26.559999999999995,17.580000000000002,demuzere,non_bati,6.0,6,11,
06125001,ST MARTIN D'ENTRAUNES_SAPC,44.154667,6.747,1642,10,0,14.6,11.73,26.2,23.34,16.71,demuzere,non_bati,11.0,11,11,
06136005,SOSPEL,43.862833,7.433667,843,10,2,20.7,17.220000000000002,29.4,25.28,20.98,demuzere,non_bati,11.0,11,11,
06152002,VALBONNE-SOPHIA,43.623167,7.0285,238,10,6,24.2,19.69,33.6,29.43,24.66,demuzere,non_bati,11.0,11,11,Provence cotiere
06153400,MILLEFONTS-NIVOSE,44.118333,7.192,2430,10,0,10.4,7.279999999999999,16.5,13.59,10.27,demuzere,non_bati,15.0,15,15,
06163001,TENDE-OBS,44.086667,7.595,792,10,0,13.2,9.81,29.5,26.690000000000005,17.86,demuzere,urbain_aere,6.0,6,6,
06163007,TENDE_SAPC,44.043167,7.586,636,10,0,16.3,12.47,30.7,27.39,19.29,demuzere,non_bati,11.0,11,11,
07005001,ALBA LA ROMAINE,44.539833,4.5825,223,10,1,20.2,14.779999999999998,33.7,31.44,23.41,demuzere,bati_special,9.0,9,9,Rhone-Alpes vallee
07010001,ANNONAY,45.246167,4.6705,336,10,0,15.0,12.54,33.9,31.140000000000004,22.01,demuzere,urbain_aere,5.0,5,5,Rhone-Alpes vallee
07011002,ANTRAIGUES,44.719167,4.352167,428,10,0,15.5,12.36,32.5,30.320000000000004,21.05,demuzere,non_bati,11.0,11,11,Rhone-Alpes vallee
07019005,AUBENAS SA,44.601667,4.409833,176,10,0,16.1,13.09,34.6,32.27,23.48,demuzere,urbain_aere,9.0,9,6,Rhone-Alpes vallee
07025001,BARNAS RAD,44.666,4.159833,480,10,0,17.9,13.36,34.3,30.25,21.57,demuzere,non_bati,11.0,11,11,Rhone-Alpes vallee
07032002,BERZEME RAD,44.628333,4.566333,650,10,1,20.8,16.330000000000002,29.4,27.130000000000003,21.81,demuzere,non_bati,12.0,12,12,
07033001,BESSAS,44.34,4.298667,251,10,2,21.4,16.98,33.1,30.64,24.13,demuzere,bati_special,9.0,9,9,
07064001,CHEYLARD SA,44.914833,4.4375,418,10,0,15.6,12.260000000000002,32.8,29.68,21.360000000000003,demuzere,urbain_aere,6.0,6,6,Rhone-Alpes vallee
07066001,CHOMERAC SA_RCE,44.6995,4.648333,216,10,0,16.5,14.060000000000002,34.0,31.379999999999995,23.110000000000003,demuzere,non_bati,14.0,14,14,Rhone-Alpes vallee
07068001,COLOMBIER JEUNE RAD,45.0155,4.671167,566,10,1,20.2,17.38,31.9,27.62,22.48,demuzere,non_bati,12.0,12,11,
07075001,CROS GEORAND,44.780167,4.099667,1021,10,0,9.4,7.01,28.0,26.02,16.880000000000003,demuzere,non_bati,12.0,12,11,
07096001,GLUIRAS RAD,44.839333,4.524,760,10,0,19.5,16.16,29.3,26.71,21.64,demuzere,non_bati,12.0,12,12,
07099001,GRAS,44.429,4.5655,341,10,0,18.9,13.45,33.2,30.41,22.610000000000003,demuzere,bati_special,9.0,9,9,
07101001,GROSPIERRES,44.411333,4.300833,127,10,0,14.4,12.42,35.7,32.730000000000004,23.120000000000005,demuzere,bati_special,9.0,9,9,
